date,cpi
1968-01-01,0.562347443566357
1968-02-01,0.618582188421242
1968-03-01,0.637327102542455
1968-04-01,0.599837273469614
1968-05-01,0.631078798388994
1968-06-01,0.649823712510207
1968-07-01,0.681065237429588
1968-08-01,0.699810152381216
1968-09-01,0.699810152381216
1968-10-01,0.693561847397340
1968-11-01,0.849769470333412
1968-12-01,0.749796591421809
1969-01-01,0.762293201389562
1969-02-01,0.774789811357314
1969-03-01,0.793534726308942
1969-04-01,0.756044896405686
1969-05-01,0.756044896405686
1969-06-01,0.743548286437933
1969-07-01,0.756044896405686
1969-08-01,0.781038116341190
1969-09-01,0.781038116341190
1969-10-01,0.793534726308942
1969-11-01,0.806031336276694
1969-12-01,0.818527946244446
1970-01-01,0.881010995252792
1970-02-01,0.881010995252792
1970-03-01,0.874762690268916
1970-04-01,0.862266080301164
1970-05-01,0.862266080301164
1970-06-01,0.874762690268916
1970-07-01,0.874762690268916
1970-08-01,0.874762690268916
1970-09-01,0.856017775317288
1970-10-01,0.856017775317288
1970-11-01,0.887259300236668
1970-12-01,0.893507605220544
1971-01-01,0.918500825156049
1971-02-01,0.943494044261138
1971-03-01,0.943494044261138
1971-04-01,0.930997434293386
1971-05-01,0.906004215188297
1971-06-01,0.893507605220544
1971-07-01,0.893507605220544
1971-08-01,0.887259300236668
1971-09-01,0.881010995252792
1971-10-01,0.893507605220544
1971-11-01,0.918500825156049
1971-12-01,0.912252520172173
1972-01-01,0.930997434293386
1972-02-01,0.949742349245014
1972-03-01,0.949742349245014
1972-04-01,0.949742349245014
1972-05-01,0.943494044261138
1972-06-01,0.924749130139925
1972-07-01,0.918500825156049
1972-08-01,0.924749130139925
1972-09-01,0.937245739277262
1972-10-01,0.974735569180518
1972-11-01,1.080956753076000
1972-12-01,1.149688107068220
1973-01-01,1.130943192116590
1973-02-01,1.137191497100470
1973-03-01,1.149688107068220
1973-04-01,1.180929631987600
1973-05-01,1.180929631987600
1973-06-01,1.243412680995940
1973-07-01,1.305895730834710
1973-08-01,1.305895730834710
1973-09-01,1.349633864891420
1973-10-01,1.387123694794680
1973-11-01,1.412116914730180
1973-12-01,1.462103353770780
1974-01-01,1.612062672553390
1974-02-01,1.668297416577860
1974-03-01,1.693290636513360
1974-04-01,1.762021990505580
1974-05-01,1.762021990505580
1974-06-01,1.780766905457210
1974-07-01,1.787015210441090
1974-08-01,1.787015210441090
1974-09-01,1.824505039513930
1974-10-01,1.874491479384940
1974-11-01,1.911981308457780
1974-12-01,1.955719443344910
1975-01-01,1.974464358296540
1975-02-01,1.993209273248170
1975-03-01,2.030699102321010
1975-04-01,2.068188932224270
1975-05-01,2.086933847175900
1975-06-01,2.086933847175900
1975-07-01,2.105678761297110
1975-08-01,2.124423676248740
1975-09-01,2.205651640208710
1975-10-01,2.224396555160340
1975-11-01,2.286879604999100
1975-12-01,2.336866044039690
1976-01-01,2.386852483910700
1976-02-01,2.436838922951300
1976-03-01,2.436838922951300
1976-04-01,2.449335532919050
1976-05-01,2.493073667806180
1976-06-01,2.536811801862900
1976-07-01,2.561805021798400
1976-08-01,2.605543155855120
1976-09-01,2.668026205693880
1976-10-01,2.668026205693880
1976-11-01,2.674274510677760
1976-12-01,2.668026205693880
1977-01-01,2.711764339750600
1977-02-01,2.718012644734470
1977-03-01,2.730509254702230
1977-04-01,2.755502474637730
1977-05-01,2.799240608694450
1977-06-01,2.799240608694450
1977-07-01,2.842978743581580
1977-08-01,2.861723658533210
1977-09-01,2.905461792589930
1977-10-01,2.911710097573800
1977-11-01,2.942951622493180
1977-12-01,2.986689756549900
1978-01-01,2.986689756549900
1978-02-01,2.992938061533780
1978-03-01,3.005434671501530
1978-04-01,3.061669416356410
1978-05-01,3.049172806388660
1978-06-01,3.005434671501530
1978-07-01,3.055421111372540
1978-08-01,3.092910940445380
1978-09-01,3.055421111372540
1978-10-01,3.080414331308040
1978-11-01,3.149145685300260
1978-12-01,3.186635514373110
1979-01-01,3.192883819356980
1979-02-01,3.267863479163500
1979-03-01,3.267863479163500
1979-04-01,3.367836358075100
1979-05-01,3.467809236986700
1979-06-01,3.555285505930550
1979-07-01,3.642761774874400
1979-08-01,3.723989738834370
1979-09-01,3.755231263753750
1979-10-01,3.786472787842720
1979-11-01,3.811466007778220
1979-12-01,3.842707532697600
1980-01-01,3.886445666754320
1980-02-01,3.942680411609210
1980-03-01,3.955177021576960
1980-04-01,3.992666850649800
1980-05-01,4.142626169432410
1980-06-01,4.205109218440760
1980-07-01,4.255095658311760
1980-08-01,4.305082097352360
1980-09-01,4.317578707320110
1980-10-01,4.392558366296210
1980-11-01,4.486282940223940
1980-12-01,4.498779550191690
1981-01-01,4.561262599200030
1981-02-01,4.592504124119410
1981-03-01,4.623745649038790
1981-04-01,4.667483783095510
1981-05-01,4.673732088079390
1981-06-01,4.692477003031020
1981-07-01,4.748711747055480
1981-08-01,4.773704966990990
1981-09-01,4.767456662007110
1981-10-01,4.823691406862000
1981-11-01,4.804946491910370
1981-12-01,4.829939711845870
1982-01-01,5.054878688774170
1982-02-01,5.086120213693550
1982-03-01,5.092368518677420
1982-04-01,5.092368518677420
1982-05-01,5.098616823661300
1982-06-01,5.117361738612930
1982-07-01,5.173596482637400
1982-08-01,5.148603262701890
1982-09-01,5.192341397589030
1982-10-01,5.254824446597370
1982-11-01,5.279817666532880
1982-12-01,5.311059191452260
1983-01-01,5.554743083332180
1983-02-01,5.567239693299930
1983-03-01,5.535998168380550
1983-04-01,5.667212572211530
1983-05-01,5.717199012082540
1983-06-01,5.804675281026390
